buda,turku,hawaii,oslo,lajolla,tokyo,devon
#B200B2,#000000,#8C0172,#000000,#FFFFCC,#190D33,#2B194C
#B206B0,#050504,#8D0770,#010306,#FFFDC6,#1E0F35,#2B1B4E
#B20BAD,#090909,#8E0D6D,#02060B,#FEFBC1,#221038,#2B1E51
#B210AC,#0D0D0D,#8E116B,#030910,#FEFABC,#261139,#2A2053
#B214A9,#111111,#8F1568,#050C14,#FDF7B8,#2A133C,#292356
#B217A8,#141313,#8F1866,#050E17,#FDF6B3,#2E133E,#292558
#B21BA5,#171716,#901C63,#07111A,#FCF4AE,#321541,#2A285B
#B21FA3,#1A1A19,#901F61,#09131E,#FBF2A8,#371743,#292B5E
#B222A2,#1C1C1B,#90225F,#0A1520,#FCF1A3,#3B1845,#292D60
#B225A0,#1F1F1E,#91255C,#0A1724,#FBEE9E,#401A48,#293063
#B2279F,#21211F,#90275A,#0A1827,#FBED9A,#441B4A,#293265
#B22B9D,#242422,#912A58,#0B1B2B,#FAEB95,#481D4D,#283568
#B22D9D,#262624,#912C56,#0B1C2E,#FAEA90,#4C1F4F,#28376A
#B3309B,#292927,#922F53,#0B1F32,#FAE78B,#512252,#273A6D
#B43399,#2D2C29,#933251,#0C2236,#F9E585,#562456,#263D70
#B33599,#2F2E2B,#933450,#0D2339,#F9E480,#5A2758,#263F72
#B43898,#32312E,#94374D,#0D263D,#F8E17B,#5E2A5B,#264275
#B53A97,#34332F,#94394C,#0F2841,#F8DF76,#622C5D,#264477
#B53D96,#383632,#933C49,#102B45,#F7DC71,#663060,#25477A
#B73F94,#3A3933,#953E48,#102D49,#F6DA6D,#6A3362,#26497C
#B84293,#3D3C35,#944146,#11304D,#F5D767,#6E3765,#264C80
#B84592,#413F38,#944444,#133351,#F5D363,#723A68,#254F83
#B84792,#434139,#964642,#133555,#F3D060,#743D69,#245285
#B94A91,#46443B,#954940,#143859,#F2CC5C,#77416C,#255589
#BB4B91,#49463C,#964B3F,#143A5D,#F2C95B,#79446D,#26568B
#BC4E90,#4C493F,#974E3D,#153D61,#F2C558,#7C4870,#27598F
#BB508E,#4E4B40,#97503C,#163F65,#F0C257,#7E4B71,#275B92
#BC538E,#524E42,#97523A,#174269,#EFBE55,#804E73,#295D96
#BD558D,#555144,#985537,#19456E,#EFBB55,#825275,#2B5F99
#BF578D,#585445,#985736,#194772,#EFB855,#835475,#2C609D
#BF5A8C,#5B5747,#975A34,#1B4A77,#EEB454,#855877,#2E63A0
#BF5B8B,#5D5948,#995D33,#1C4C7B,#EDB154,#865A77,#2F64A4
#C05E8A,#615C4A,#996031,#1E4F7F,#EDAE54,#875D79,#3266A7
#C1608A,#645F4C,#996330,#1F5284,#EBAB53,#875F79,#3367AC
#C26288,#67614D,#9A652E,#215488,#EBA753,#88637A,#3569AF
#C36587,#6A644F,#99682B,#23578C,#EBA452,#88667C,#386CB3
#C46788,#6C664F,#996A2A,#255990,#E9A152,#8A687C,#396DB6
#C56987,#706A52,#9A6D28,#275C95,#E99E53,#8A6B7D,#3C6FBA
#C56B85,#726C52,#9B7027,#295D99,#E89B51,#8A6D7E,#3E70BD
#C56E85,#766F54,#9A7325,#2C609E,#E79752,#8B707F,#4273C0
#C67084,#7A7256,#9B7723,#2F63A2,#E79452,#8C7380,#4675C4
#C77283,#7C7457,#9B7922,#3165A6,#E69151,#8C7581,#4A77C7
#C87482,#80785A,#9B7D20,#3468AB,#E58D50,#8D7882,#4F7ACA
#C97683,#837A5A,#9B7F1F,#366AAF,#E58A50,#8C7A82,#547CCC
#CA7982,#867D5D,#9C831D,#396DB3,#E58750,#8D7D82,#597FCF
#C97A80,#8A7F5E,#9D861C,#3C6FB7,#E38450,#8D7F84,#5F80D1
#CB7D80,#8D8260,#9D891B,#4072BB,#E3814F,#8E8285,#6483D3
#CC7F80,#928662,#9C8D1C,#4476BF,#E37D50,#8F8585,#6A86D6
#CB817E,#958863,#9C901B,#4778C2,#E17A4F,#8E8785,#7088D7
#CC847E,#998B66,#9B941C,#4B7BC5,#E07650,#8F8A86,#758BDA
#CD857E,#9C8D67,#9C971C,#4F7DC7,#E1734E,#908C87,#7A8CDB
#CD887D,#A1906A,#9B9A1E,#5380C9,#DF6F4F,#918F87,#7F8FDE
#CF897C,#A4916B,#9A9E1F,#5682CA,#DF6C4F,#919189,#8491DF
#CE8C7B,#A9946D,#99A222,#5A85CA,#DD684E,#90948A,#8A93E1
#CF8F7C,#AD9770,#97A526,#5E87CB,#DB644D,#91978A,#8F96E4
#D0907A,#B19871,#96A829,#6189CB,#DA614D,#92998B,#9497E5
#D1937A,#B59A74,#94AB2D,#648BCB,#D85D4C,#939C8C,#989AE7
#D1957A,#B89A75,#93AE31,#678CCB,#D65A4C,#929E8C,#9D9CE8
#D29779,#BC9C77,#91B135,#6A8FCA,#D2574B,#93A18C,#A19EEA
#D29978,#BF9D78,#90B43A,#6D90CA,#CF544B,#93A38E,#A4A0EB
#D29C77,#C39D7A,#8DB73F,#7193C9,#CB514A,#93A68E,#A8A2EC
#D39E78,#C69E7D,#8BBA44,#7495CA,#C64E4A,#94A98F,#ABA5ED
#D3A076,#C99F7D,#89BC49,#7796CA,#C24D49,#95AC90,#ADA7EE
#D4A377,#CCA080,#86BE4E,#7B99CA,#BE4A48,#96AF91,#B0A9EF
#D5A475,#CEA081,#84C053,#7D9ACA,#B94A49,#96B190,#B2ABEF
#D6A775,#D29F83,#81C359,#819DC9,#B54948,#97B491,#B4AEF0
#D7AA74,#D49F85,#7FC55F,#859FCA,#B04746,#97B792,#B7B0F0
#D6AC74,#D79F86,#7DC664,#88A0C8,#AB4746,#98B992,#B8B2F0
#D7AE74,#DAA088,#7AC969,#8BA3C9,#A64645,#99BC93,#BBB5F1
#D7B072,#DCA089,#78CA6F,#8EA4C9,#A24444,#98BF94,#BCB6F0
#D8B373,#DFA18C,#75CC74,#91A7C9,#9D4342,#9AC295,#BFB9F1
#D9B471,#E1A18D,#73CD7A,#94A8C9,#984341,#9AC495,#C0BBF2
#DAB771,#E4A290,#70D07F,#98AAC9,#94413F,#9CC896,#C3BEF3
#DBBA70,#E8A393,#6ED286,#9CADC9,#8E3F3C,#9ECB98,#C6C0F2
#DABC70,#EAA496,#6CD38B,#9EAEC9,#893F3B,#9FCE99,#C7C2F4
#DBBF70,#EDA699,#69D591,#A2B1C8,#843D38,#A2D29B,#CAC5F4
#DCC06E,#EFA79D,#68D696,#A5B2C8,#7F3C36,#A4D59B,#CBC7F4
#DDC36E,#F2AAA0,#65D89C,#A8B4C7,#7A3A33,#A7D89E,#CEC9F5
#DDC56E,#F4ABA4,#64D9A1,#ABB6C7,#763931,#AADC9F,#CFCBF4
#DDC86D,#F6AEA8,#62DCA7,#AFB8C7,#71372E,#AEE0A2,#D2CEF5
#DECA6D,#F8B1AC,#60DEAE,#B3BBC7,#6B352B,#B2E4A5,#D5D1F5
#DFCC6B,#F9B3B0,#60DFB3,#B6BCC7,#663429,#B7E7A7,#D6D3F7
#E0CF6B,#FBB7B3,#5FE1B9,#BABFC8,#623226,#BCEBAB,#D9D5F7
#E0D16B,#FBB9B6,#5FE2BF,#BDC1C9,#5D3125,#C0EEAD,#DAD7F7
#E1D46A,#FCBCBA,#60E4C4,#C1C4CB,#582F22,#C5F1B1,#DDDAF8
#E2D669,#FDBEBD,#60E5C9,#C4C7CB,#542E20,#CAF3B4,#DFDCF8
#E3D968,#FEC2C0,#63E7D0,#C9CBCE,#4E2C1D,#D0F6B7,#E1DFF8
#E4DC69,#FEC5C4,#67E9D5,#CDCED1,#4A2A1A,#D4F8BB,#E4E1F9
#E5DE67,#FEC7C6,#6BEADA,#D1D2D3,#462919,#D9F9BD,#E5E3F9
#E6E167,#FFCAC9,#6FEBDE,#D5D6D7,#412716,#DDFBC0,#E8E6F9
#E7E367,#FFCCCC,#75ECE2,#D9D9DA,#3D2615,#E0FCC3,#EAE8FB
#E9E666,#FFCFCF,#7BEEE7,#DDDDDE,#392412,#E4FDC6,#EDEBFA
